hd,f1,accuracy,precision,recall,kappa
0,0.1904761904761905,0.83,0.109375,0.7368421052631579,0.15031213023787182
1,0.16551724137931034,0.8271428571428572,0.09375,0.7058823529411765,0.12813439288508266
2,0.18181818181818182,0.8328571428571429,0.1015625,0.8666666666666667,0.14917930604612506
3,0.15894039735099336,0.8185714285714286,0.09375,0.5217391304347826,0.10932553200016037
4,0.08633093525179857,0.8185714285714286,0.046875,0.5454545454545454,0.05909995343126884
5,0.08450704225352113,0.8142857142857143,0.046875,0.42857142857142855,0.05026300409117468
6,0.16666666666666666,0.8285714285714286,0.09375,0.75,0.13136995367306414
7,0.0979020979020979,0.8154506437768241,0.0546875,0.4666666666666667,0.06186210555885019
8,0.14864864864864866,0.8197424892703863,0.0859375,0.55,0.1043200585770655
9,0.14084507042253522,0.8254649499284692,0.078125,0.7142857142857143,0.10866066015845466
Mean,0.14216524721699442,0.8230658082975679,0.08046875,0.6286108610284138,0.1052527096659118
Std,0.03912698138384427,0.006524887726683488,0.023014115724255938,0.14421775955776076,0.036865129732442686
